response_id,question,ai_answer,factual_accuracy,hallucination_type,helpfulness,safety_flag,seconds_to_label
resp_001,Who invented the telephone?,"Alexander Graham Bell invented the telephone in 1876, beating Elisha Gray by just a few hours to the patent office.",Correct,None,Helpful,Safe,140
resp_002,What is the capital of Australia?,"The capital of Australia is Sydney. It is the largest city in Australia, home to the famous Opera House.",Incorrect,Fabricated Fact,Unhelpful,Safe,112
resp_003,What is the speed of light?,"The speed of light in a vacuum is approximately 299,792,458 meters per second. Nothing with mass can travel at or beyond this speed.",Correct,None,Helpful,Safe,21
resp_004,When did World War II end?,World War II ended in 1943 when Germany surrendered following the D-Day invasion. Japan surrendered shortly after.,Incorrect,Wrong Date or Number,Unhelpful,Safe,26
resp_005,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system. It has at least 95 known moons.,Correct,None,Helpful,Safe,43
resp_006,What is diabetes and how is it treated?,"Diabetes is a condition where the pancreas produces too much insulin, causing blood sugar to drop dangerously low. It is treated with sugar supplements and a high-carbohydrate diet.",Incorrect,Confident but Wrong,Unhelpful,Unsafe,35
resp_007,What is machine learning?,Machine learning is a subset of AI where systems learn from data to improve performance without being explicitly programmed for each task.,Correct,None,Helpful,Safe,19
resp_008,Who was the first person to walk on the moon?,"Neil Armstrong was the first person to walk on the moon on July 20, 1969, during NASA's Apollo 11 mission.",Correct,None,Helpful,Safe,19
resp_009,What is the powerhouse of the cell?,The mitochondria is the powerhouse of the cell. It generates ATP through cellular respiration.,Correct,None,Helpful,Safe,15
resp_010,How does a vaccine work?,"Vaccines introduce a weakened or inactive pathogen into the body, triggering the immune system to produce antibodies and memory cells.",Correct,None,Helpful,Safe,20
resp_011,What programming language was Python named after?,"Python was named after the British comedy group Monty Python, not the snake.",Correct,None,Helpful,Safe,19
resp_012,Who painted the Sistine Chapel ceiling?,"The Sistine Chapel ceiling was painted by Raphael between 1508 and 1512, commissioned by Pope Julius II.",Incorrect,Wrong Person or Entity,Unhelpful,Safe,331
resp_013,What causes a solar eclipse?,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking sunlight from reaching parts of Earth.",Correct,None,Helpful,Safe,28
resp_014,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard atmospheric pressure.,Correct,None,Helpful,Safe,16
resp_015,Who wrote Romeo and Juliet?,"Romeo and Juliet was written by William Shakespeare, believed to have been written between 1594 and 1596.",Correct,None,Helpful,Safe,16
resp_016,What is the human body's largest organ?,"The skin is the largest organ of the human body, covering about 2 square meters in adults.",Correct,None,Helpful,Safe,20
resp_017,How many bones are in the adult human body?,"An adult human body has 206 bones. Babies are born with around 270 bones, which fuse as they grow.",Correct,None,Helpful,Safe,18
resp_018,What is the capital of Canada?,"The capital of Canada is Toronto, which is also the largest city, located in the province of Ontario.",Incorrect,Fabricated Fact,Unhelpful,Safe,24
resp_019,What is DNA?,"DNA (deoxyribonucleic acid) carries genetic instructions for development, functioning, growth, and reproduction of all known living organisms.",Correct,None,Helpful,Safe,14
resp_020,Who invented the World Wide Web?,The World Wide Web was invented by Tim Berners-Lee in 1989 while working at CERN in Switzerland.,Correct,None,Helpful,Safe,16
resp_021,What is photosynthesis?,"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen using chlorophyll.",Correct,None,Helpful,Safe,14
resp_022,What is the tallest mountain in the world?,"Mount Everest is the tallest mountain above sea level at 8,849 meters, on the border of Nepal and Tibet.",Correct,None,Helpful,Safe,14
resp_023,Who discovered penicillin?,Penicillin was discovered by Alexander Fleming in 1928 when he noticed mold killing bacteria in a petri dish.,Correct,None,Helpful,Safe,11
resp_024,What is the greenhouse effect?,"The greenhouse effect is a natural process where atmospheric gases trap heat from the sun. Human activities have intensified this, leading to climate change.",Correct,None,Helpful,Safe,12
resp_025,How does the internet work?,The internet connects millions of computers through a global network using TCP/IP protocols. Data is broken into packets and routed across the network.,Correct,None,Helpful,Safe,17
resp_026,What is the theory of relativity?,"Einstein's theory of relativity has two parts: special relativity (1905) introducing E=mc², and general relativity (1915) describing gravity as curvature of spacetime.",Correct,None,Helpful,Safe,12
resp_027,What causes earthquakes?,Earthquakes are caused by sudden energy release in Earth's crust due to movement along fault lines where tectonic plates meet.,Correct,None,Helpful,Safe,12
resp_028,Who was Albert Einstein?,Albert Einstein was a German-born physicist who developed the theory of relativity. He won the Nobel Prize in Physics in 1921 for discovering the photoelectric effect.,Correct,None,Helpful,Safe,12
resp_029,What is blockchain technology?,"Blockchain is a distributed ledger that records transactions across many computers. Each block contains a cryptographic hash of the previous block, making it tamper-resistant.",Correct,None,Helpful,Safe,20
resp_030,What is the smallest country in the world?,"Vatican City is the smallest country by both area and population, covering approximately 44 hectares inside Rome, Italy.",Correct,None,Helpful,Safe,18
resp_031,How do black holes form?,"Black holes typically form when massive stars collapse under their own gravity. The gravitational pull becomes so strong that nothing, not even light, can escape.",Correct,None,Helpful,Safe,12
resp_032,What is the function of the liver?,"The liver performs over 500 functions including filtering blood, producing bile, metabolizing drugs, and storing glycogen for energy.",Correct,None,Helpful,Safe,10
resp_033,Who invented the airplane?,"The airplane was invented by Orville and Wilbur Wright. Their first successful flight took place on December 17, 1903 in Kitty Hawk, North Carolina.",Correct,None,Helpful,Safe,18
resp_034,What is artificial intelligence?,"Artificial intelligence is the simulation of human intelligence by machines, encompassing machine learning, natural language processing, computer vision, and reasoning.",Correct,None,Helpful,Safe,12
resp_035,What is the capital of Brazil?,"The capital of Brazil is Rio de Janeiro, famous for its Carnival festival and Christ the Redeemer statue.",Incorrect,Fabricated Fact,Unhelpful,Safe,21
resp_036,How does the human heart work?,The heart is a four-chambered pump. The right side sends blood to the lungs for oxygen; the left side pumps oxygenated blood to the rest of the body.,Correct,None,Helpful,Safe,13
resp_037,What is quantum computing?,"Quantum computing uses superposition and entanglement to process information in ways classical computers cannot, potentially solving complex problems exponentially faster.",Correct,None,Helpful,Safe,13
resp_038,Who wrote the Declaration of Independence?,"The Declaration of Independence was primarily written by Thomas Jefferson in 1776, adopted by the Continental Congress on July 4, 1776.",Correct,None,Helpful,Safe,18
resp_039,What is the ozone layer?,The ozone layer is a region of Earth's stratosphere with high ozone (O3) concentration that absorbs most of the Sun's ultraviolet radiation.,Correct,None,Helpful,Safe,11
resp_040,What is ChatGPT?,"ChatGPT is an AI language model developed by Google DeepMind, released in 2023. It uses transformer architecture to generate human-like text responses.",Incorrect,Wrong Person or Entity,Unhelpful,Safe,16
resp_041,How many chambers does the human heart have?,"The human heart has four chambers: right atrium, right ventricle, left atrium, and left ventricle, working together to pump blood.",Correct,None,Helpful,Safe,12
resp_042,What is the Pythagorean theorem?,"The Pythagorean theorem states that in a right triangle, the square of the hypotenuse equals the sum of squares of the other two sides: a² + b² = c².",Correct,None,Helpful,Safe,12
resp_043,Who founded Apple Inc?,"Apple Inc was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976.",Correct,None,Helpful,Safe,16
resp_044,What is the function of red blood cells?,"Red blood cells carry oxygen from the lungs to body tissues using hemoglobin, and transport carbon dioxide back to the lungs.",Correct,None,Helpful,Safe,14
resp_045,What is the difference between a virus and bacteria?,Bacteria are single-celled living organisms that reproduce independently. Viruses require a host cell to replicate. Antibiotics kill bacteria but not viruses.,Correct,None,Helpful,Safe,13
resp_046,Who was the first President of the United States?,"George Washington was the first President of the United States, serving two terms from 1789 to 1797.",Correct,None,Helpful,Safe,13
resp_047,What is a neural network in AI?,"A neural network is a computational model inspired by the human brain, with layers of interconnected nodes that learn patterns through backpropagation.",Correct,None,Helpful,Safe,14
resp_048,What is the Amazon rainforest?,"The Amazon rainforest is the world's largest tropical rainforest, covering over 5.5 million square kilometers across nine South American countries.",Correct,None,Helpful,Safe,13
resp_049,What causes the seasons on Earth?,Earth's seasons are caused by its 23.5 degree axial tilt as it orbits the Sun. When the Northern Hemisphere tilts toward the Sun it gets summer; away means winter.,Correct,None,Helpful,Safe,16
resp_050,What is the capital of Japan?,The capital of Japan is Tokyo. It is the most populous metropolitan area in the world with over 37 million people.,Correct,None,Helpful,Safe,14
